"Degriz Gdpr Newsletter","Degriz GDRP enovice"
"Degriz Gdpr Newsletter settings","Degriz GDRP nastavitve enovice"
"Degriz Gdpr QuickCheckout settings","Degriz GDRP QuickCheckout enovice"
"Show confirmation checkbox","Prikaži potrditvena polja"
"Include jQuery Library","Vključi jQuery knjižnico"
"Mostly jQuery is already included","V večini je jQuery že vključen"
"Confirmation text","Potrditvena vsebina"
"Confirmation link text","Vsebina na potrdiveni povezavi"
"Popup HTML","Pojavno okno HTML"
"Yes, I agree","Da, strinjam se"
"No, i don't agree","Ne, ne strinjam se"
